country,programme,min_income_eur_month,leads_to_pr
Albania,Single Permit for Digital Mobile Workers (Leje Unike — Digital Nomad),338,False
Argentina,residencia transitoria como Nómada Digital,,False
Barbados,Barbados Welcome Stamp (12-Month Remote Work Visa),3633,False
Brazil,Visto Temporário para Nômade Digital (Digital Nomad Visa),1308,False
Bahamas,Bahamas Extended Access Travel Stay (BEATS),,False
Belize,Work Where You Vacation (WWYV) — Digital Nomad / Remote Worker Permit,5450,False
Colombia,Visa V Trabajador Remoto / Nómadas Digitales,,False
Costa Rica,Estancia para Trabajador y Prestador Remoto de Servicios,2616,False
Costa Rica,Digital Nomad — Rentista a Distancia,2616,False
Cape Verde,Visto Nómadas Digitais (Digital Nomad Visa),,False
Cyprus,Digital nomads and family members (VIS),3500,False
Ecuador,Residencia Temporal de Nómada Digital,1261,True
Spain,"International Telework Visa (Digital Nomad, Ley 14/2013 amended Dec 2022)",2368,False
Estonia,Digital Nomad Visa,4500,False
Greece,Digital Nomad Visa,3500,False
Croatia,Digital Nomad Temporary Stay (Croatia DNV),3623,False
Hungary,White Card – residency for digital nomads,3000,False
Indonesia,Visa Rumah Kedua Pekerja Jarak Jauh,4360,False
Italy,Visto per nomadi digitali e lavoratori da remoto,2125,False
Japan,Status of Residence of “Designated Activities” (for Digital Nomad / Spouse or child of Digital Nomad),4509,False
Kazakhstan,A B12-1 tourist visa (Neo Nomad Visa),2616,False
Kazakhstan,"Visa for permanent residence in the Republic of Kazakhstan, ""B9-1"" category (Digital Nomad Visa)",,True
Kyrgyzstan,Программа «Цифровой кочевник»,,False
Malaysia,DE Rantau Sarawak,1744,False
Malaysia,DE Rantau Nomad Pass,1744,False
Malta,Nomad Residence Permit,3500,False
Mauritius,Premium Visa,1308,False
Moldova,Digital Nomad,2604,False
Montenegro,Temporary residence permit for a digital nomad,,False
Namibia,Digital Nomad Visa,1744,False
Palau,Digital Residency Program,2179,False
Portugal,Autorização de Residência para Atividade Profissional Prestada de Forma Remota (D8),3680,False
Slovenia,Temporary residence permit for digital nomads,3140,False
Sri Lanka,Digital Nomad,1744,False
Thailand,Destination Thailand Visa (DTV),,False
Thailand,Work-from-Thailand Professionals,5813,False
United Arab Emirates,Remote Work System from Outside the State in the Federal Government,3053,False
