rank,country,accessible_pathways
1,Canada,27
2,Portugal,27
3,Spain,25
4,Italy,20
5,Finland,19
6,France,19
7,Sweden,19
8,Indonesia,16
9,Panama,16
10,United States,16
11,Ireland,15
12,Netherlands,15
13,Poland,15
14,Austria,14
15,United Kingdom,14
16,Argentina,13
17,Brazil,13
18,Fiji,13
19,Germany,12
20,China,11
21,Czechia,11
22,Ecuador,11
23,Rwanda,11
24,Australia,10
25,Bangladesh,10
26,Colombia,10
27,Greece,10
28,Kenya,10
29,Thailand,10
30,Belgium,9
31,Cook Islands,9
32,Hungary,9
33,Iceland,9
34,Malaysia,9
35,Moldova,9
36,Montenegro,9
37,Slovenia,9
38,Albania,8
39,Angola,8
40,Bolivia,8
41,Cameroon,8
42,Cape Verde,8
43,Chile,8
44,Cuba,8
45,El Salvador,8
46,Malta,8
47,New Zealand,8
48,Timor-Leste,8
49,Zambia,8
50,Algeria,7
51,Armenia,7
52,Belize,7
53,Cyprus,7
54,Denmark,7
55,Lebanon,7
56,Nigeria,7
57,North Macedonia,7
58,Norway,7
59,Philippines,7
60,Solomon Islands,7
61,Switzerland,7
62,Uruguay,7
63,Bahamas,6
64,Bahrain,6
65,Barbados,6
66,Brunei,6
67,Costa Rica,6
68,Dominican Republic,6
69,Eswatini,6
70,Kazakhstan,6
71,Kosovo,6
72,Latvia,6
73,Libya,6
74,South Africa,6
75,United Arab Emirates,6
76,Vanuatu,6
77,Venezuela,6
78,Bulgaria,5
79,Burkina Faso,5
80,Israel,5
81,Japan,5
82,Jordan,5
83,Mexico,5
84,Nicaragua,5
85,Papua New Guinea,5
86,Paraguay,5
87,Peru,5
88,Russia,5
89,Samoa,5
90,Seychelles,5
91,Singapore,5
92,Slovakia,5
93,Trinidad and Tobago,5
94,Afghanistan,4
95,Belarus,4
96,Botswana,4
97,Comoros,4
98,Croatia,4
99,Ethiopia,4
100,Ghana,4
101,Guyana,4
102,Honduras,4
103,Hong Kong,4
104,Lesotho,4
105,Liechtenstein,4
106,Luxembourg,4
107,Marshall Islands,4
108,Mauritius,4
109,Micronesia,4
110,Pakistan,4
111,Romania,4
112,South Korea,4
113,Sri Lanka,4
114,Suriname,4
115,Turkey,4
116,Uganda,4
117,Antigua and Barbuda,3
118,Azerbaijan,3
119,Bosnia and Herzegovina,3
120,Djibouti,3
121,Kiribati,3
122,Laos,3
123,Liberia,3
124,Madagascar,3
125,Malawi,3
126,Maldives,3
127,Niger,3
128,Oman,3
129,Saint Vincent and the Grenadines,3
130,San Marino,3
131,Saudi Arabia,3
132,Serbia,3
133,Sudan,3
134,Tonga,3
135,Ukraine,3
136,Vietnam,3
137,Benin,2
138,Burundi,2
139,Cambodia,2
140,DR Congo,2
141,Dominica,2
142,Egypt,2
143,Gambia,2
144,Georgia,2
145,Iran,2
146,Jamaica,2
147,Lithuania,2
148,Mauritania,2
149,Monaco,2
150,Mongolia,2
151,Morocco,2
152,Namibia,2
153,Nauru,2
154,Nepal,2
155,Senegal,2
156,South Sudan,2
157,Syria,2
158,São Tomé and Príncipe,2
159,Tajikistan,2
160,Tanzania,2
161,Tuvalu,2
162,Andorra,1
163,Bhutan,1
164,Central African Republic,1
165,Equatorial Guinea,1
166,Eritrea,1
167,Estonia,1
168,Guatemala,1
169,Haiti,1
170,India,1
171,Kuwait,1
172,Kyrgyzstan,1
173,Palau,1
174,Saint Kitts and Nevis,1
175,Saint Lucia,1
176,Somalia,1
177,Taiwan,1
178,Turkmenistan,1
179,Uzbekistan,1
180,Zimbabwe,1
