country,security_score,healthcare_score,transport_score,climate_score,global_score,internet_speed_mbps,english_proficiency
Canada,8.0,8.2,6.5,4.5,7.2,220,native
Australia,8.2,8.5,7.0,7.5,7.9,135,native
Germany,7.8,8.8,8.5,5.5,7.8,155,very high
Portugal,8.8,7.8,7.0,8.5,8.1,190,very high
United Kingdom,7.5,7.8,8.0,5.0,7.3,150,native
Netherlands,8.0,8.5,9.0,5.5,7.9,175,very high
New Zealand,9.0,8.0,5.5,7.5,7.7,160,native
Spain,7.8,9.0,7.5,8.8,8.3,200,moderate
UAE,8.5,7.5,7.5,3.5,7.0,310,high
Ireland,9.2,7.8,6.5,5.5,7.5,170,native
Sweden,7.8,8.8,8.0,4.5,7.6,225,very high
Switzerland,9.0,9.2,9.5,6.0,8.6,245,high
Thailand,6.0,6.5,6.0,5.5,6.1,230,low
Mexico,4.5,5.8,5.5,7.0,5.5,85,low
Japan,9.0,9.5,9.5,6.5,8.8,210,low
Estonia,8.0,7.2,6.5,4.5,6.8,145,high
Singapore,9.5,9.2,9.5,4.0,8.3,372,native
Costa Rica,6.8,7.0,4.5,7.5,6.5,75,moderate
Malaysia,7.0,7.0,6.5,5.0,6.5,130,high
Panama,6.0,6.5,4.5,6.5,5.9,90,moderate
Austria,9.0,8.8,9.0,6.0,8.4,140,very high
Chile,6.5,7.0,6.0,7.0,6.6,298,low
Czech Republic,8.2,7.8,8.0,5.5,7.6,120,high
Denmark,8.8,8.8,8.5,5.0,8.0,256,very high
South Korea,8.0,9.0,9.0,6.0,8.1,280,moderate
Uruguay,7.2,7.0,5.0,7.0,6.6,95,low
