country,profession,level,gross_annual_eur,net_annual_eur
Canada,Software Engineer,junior,40200,31400
Canada,Software Engineer,mid,56400,42800
Canada,Software Engineer,senior,80400,57900
Australia,Software Engineer,junior,42000,33600
Australia,Software Engineer,mid,60000,46200
Australia,Software Engineer,senior,84000,61300
Germany,Software Engineer,junior,48000,30700
Germany,Software Engineer,mid,65000,40200
Germany,Software Engineer,senior,90000,53500
Portugal,Software Engineer,junior,22000,16500
Portugal,Software Engineer,mid,35000,24800
Portugal,Software Engineer,senior,52000,34600
United Kingdom,Software Engineer,junior,38600,30800
United Kingdom,Software Engineer,mid,58500,44200
United Kingdom,Software Engineer,senior,84200,59400
Netherlands,Software Engineer,junior,42000,31500
Netherlands,Software Engineer,mid,62000,43800
Netherlands,Software Engineer,senior,85000,56200
New Zealand,Software Engineer,junior,33000,26800
New Zealand,Software Engineer,mid,46200,36300
New Zealand,Software Engineer,senior,63800,47600
Spain,Software Engineer,junior,26000,20300
Spain,Software Engineer,mid,38000,28200
Spain,Software Engineer,senior,55000,38500
UAE,Software Engineer,junior,37500,37500
UAE,Software Engineer,mid,55000,55000
UAE,Software Engineer,senior,80000,80000
Ireland,Software Engineer,junior,42000,33600
Ireland,Software Engineer,mid,62000,46000
Ireland,Software Engineer,senior,88000,60500
Sweden,Software Engineer,junior,38700,29500
Sweden,Software Engineer,mid,52800,38800
Sweden,Software Engineer,senior,70400,49800
Switzerland,Software Engineer,junior,79800,66400
Switzerland,Software Engineer,mid,105000,85100
Switzerland,Software Engineer,senior,136500,108200
Thailand,Software Engineer,junior,10400,9400
Thailand,Software Engineer,mid,18200,16000
Thailand,Software Engineer,senior,28600,24300
Mexico,Software Engineer,junior,13800,11700
Mexico,Software Engineer,mid,23000,19100
Mexico,Software Engineer,senior,38000,30400
Japan,Software Engineer,junior,30500,24400
Japan,Software Engineer,mid,45700,35200
Japan,Software Engineer,senior,67100,49500
Estonia,Software Engineer,junior,24000,19700
Estonia,Software Engineer,mid,36000,29200
Estonia,Software Engineer,senior,52000,41600
Singapore,Software Engineer,junior,37300,34500
Singapore,Software Engineer,mid,55200,49700
Singapore,Software Engineer,senior,82800,72500
Costa Rica,Software Engineer,junior,16600,14600
Costa Rica,Software Engineer,mid,28500,24300
Costa Rica,Software Engineer,senior,42000,34400
Malaysia,Software Engineer,junior,10800,10100
Malaysia,Software Engineer,mid,18400,16600
Malaysia,Software Engineer,senior,29000,25400
Panama,Software Engineer,junior,16100,14200
Panama,Software Engineer,mid,29000,25000
Panama,Software Engineer,senior,44200,37600
Austria,Software Engineer,junior,44000,29900
Austria,Software Engineer,mid,60000,39200
Austria,Software Engineer,senior,80000,50400
Chile,Software Engineer,junior,16600,14600
Chile,Software Engineer,mid,27600,23500
Chile,Software Engineer,senior,41400,34000
Czech Republic,Software Engineer,junior,22400,17400
Czech Republic,Software Engineer,mid,34000,26100
Czech Republic,Software Engineer,senior,48000,36500
Denmark,Software Engineer,junior,48200,30800
Denmark,Software Engineer,mid,64300,40100
Denmark,Software Engineer,senior,85600,51400
South Korea,Software Engineer,junior,31000,26400
South Korea,Software Engineer,mid,48300,39700
South Korea,Software Engineer,senior,69000,54500
Uruguay,Software Engineer,junior,13800,11200
Uruguay,Software Engineer,mid,23000,18000
Uruguay,Software Engineer,senior,36800,27600
Canada,Nurse,junior,40200,31400
Canada,Nurse,mid,53600,40700
Canada,Nurse,senior,67000,49100
Australia,Nurse,junior,39000,31200
Australia,Nurse,mid,48000,37400
Australia,Nurse,senior,60000,44800
Germany,Nurse,junior,33000,22400
Germany,Nurse,mid,40000,26600
Germany,Nurse,senior,50000,32200
Portugal,Nurse,junior,16000,12600
Portugal,Nurse,mid,22000,16500
Portugal,Nurse,senior,30000,21500
United Kingdom,Nurse,junior,30400,24800
United Kingdom,Nurse,mid,38000,30200
United Kingdom,Nurse,senior,49100,37200
Netherlands,Nurse,junior,30000,23800
Netherlands,Nurse,mid,38000,29200
Netherlands,Nurse,senior,50000,36800
New Zealand,Nurse,junior,27500,22800
New Zealand,Nurse,mid,35200,28500
New Zealand,Nurse,senior,44000,34300
Spain,Nurse,junior,22000,17600
Spain,Nurse,mid,28000,21600
Spain,Nurse,senior,36000,26600
UAE,Nurse,junior,22500,22500
UAE,Nurse,mid,32500,32500
UAE,Nurse,senior,45000,45000
Ireland,Nurse,junior,32000,26600
Ireland,Nurse,mid,40000,31800
