country,programme,processing_days
Argentina,Residencia temporaria como científico y/o personal especializado y/o personal de traslado,1
Bahrain,Residence Permit — Parents / Adult Family of Foreign Resident,1
Bahrain,Student Visa + Student Residence Permit,1
Cameroon,Visa long séjour express (Long-stay express — 24h processing),1
Finland,Application for students and researchers: residence permit to look for work,1
Kazakhstan,Temporary residence permit for foreigners in the Republic of Kazakhstan,1
Uzbekistan,IT Visa,1
Algeria,Visa de régularisation,2
France,Carte de séjour temporaire « salarié » (CDI),2
France,Carte de séjour temporaire « travailleur temporaire » (CDD),2
Kazakhstan,Issuance and extension of a permit to a labour immigrant,2
Somalia,Education and Research Visa,2
Somalia,Temporary Residence,2
United Arab Emirates,Entry Permit for Business or Job Opportunities,2
United Arab Emirates,Family Residency VISA/Government,2
United Arab Emirates,Family Residency Visa/Private,2
United Arab Emirates,Issuing residence permits for the private sector,2
United Arab Emirates,Residency and EID/Private Employee,2
Azerbaijan,"Entrepreneur TRP (Min 5 Full-time / 10 Part-time Staff, 80% Local)",3
Azerbaijan,Family TRP — Family Reunification with TRP/PRP Holder,3
Bahrain,Artist / Performing Group Visa,3
Bahrain,Dependants Residency Permit (Children),3
Bahrain,New Work Permit,3
Cameroon,Visa long séjour ordinaire (Long-stay visitor visa — 12 months),3
Cameroon,"Visa long séjour — Profession libérale / Activité commerciale, industrielle, agricole, artisanale ou artistique",3
Cameroon,Visa long séjour — Travailleur salarié (Salaried work permit + carte de séjour),3
Cameroon,Visa long séjour — Études (Student visa + carte de séjour),3
Denmark,Accompanying family member in Greenland,3
Denmark,Au pair,3
Ethiopia,Foreign Business Firm Employment Visa - WV,3
Jamaica,Permanent Residence,3
Kuwait,Private Residence Article 18,3
New Zealand,Second or Subsequent Resident Visa,3
Saudi Arabia,Education Visa,3
Spain,CERTIFICADO DE RESIDENCIA PERMANENTE DE CIUDADANO DE LA UNIÓN EUROPEA,3
Vietnam,"NN1 - Cáp cho nguòi là truông văn phòng dái dio quóc tê, tô chúc phi chính phù nuóc ngoài tai việt nam",3
Vietnam,"NN3 - Cáp cho nguòi vào làm việc với tô chúc phi chính phủ nuóc ngoài, văn phòng dài diên, chi nhánh của thuongnhân nuóc ngoài, văn phong dài diên tô chúc kinh té, văn hoá và tô chúc chuyên môn khác c",3
Indonesia,Visa Keturunan EX-WNI 5 Atau 10 Tahun,4
Indonesia,Visa Repatriasi 5 Tahun,4
Indonesia,Visa Rumah Kedua,4
Indonesia,Visa Rumah Kedua Kolaborasi Keahlian Khusus,4
Indonesia,Visa Rumah Kedua Lansia Untuk 5 Tahun,4
Indonesia,Visa Rumah Kedua Tenaga Ahli Undangan Pemerintah,4
Uzbekistan,Investment Visa,4
Australia,Resident Return visa (subclasses 155 and 157),5
Bahamas,Bahamas Extended Access Travel Stay (BEATS),5
Bahrain,Golden Residency Program — Professionals Working in Bahrain,5
Brazil,"VITEM V — Visto Temporário para Trabalho (Work Visa, with employment contract)",5
Finland,Fast track for specialists,5
Guyana,Employment Visa on Arrival,5
Indonesia,Visa Keluarga Suami/Istri Pemegang ITAS/ITAP,5
Indonesia,Visa Keluarga Suami/Istri WNI,5
Indonesia,Visa Kemudahan Bekerja Saat Berlibur,5
Indonesia,Visa Kerja Peneliti,5
Indonesia,Visa Pendidikan Tinggi,5
Indonesia,Visa Repatriasi 1 Tahun,5
Indonesia,Visa Repatriasi 2 Tahun,5
Indonesia,Visa Rumah Kedua Pekerja Jarak Jauh,5
Kyrgyzstan,Uniform Permit,5
Malaysia,Investor Pass,5
Maldives,Dependent Visa,5
Monaco,How to register an application for authorisation to hire staff or to amend/renew a work permit,5
New Zealand,Straight to Residence Visa,5
Vietnam,DN - Cáp cho nguòi vào làm việc với doanh nghiêp tái viet nam,5
Vietnam,LD - Cáp cho nguòi vào lao dông,5
Vietnam,Work Permit,5
Zimbabwe,Scholars Permit,5
Netherlands,"Long-Term EU Resident Permit (LTR-EU, Directive 2003/109)",6
Romania,Long-term residence permit,6
Rwanda,Rwandan Nationality by Acquisition on grounds of Residence in Rwanda,6
Rwanda,Rwandan Nationality by Acquisition on grounds of Statelessness,6
Bangladesh,NGO Visa,7
Bangladesh,Student Visa,7
China,Private Business Residence Permit for Foreigners (Endorsed with Entrepreneur),7
China,Private Business for Foreigners (Foreign Home Servant),7
Djibouti,Residence Permits,7
Dominican Republic,"Permit for Artists, Sports and Exchange Students (PADEI)",7
Jordan,Work Permits for Non-Jordanian Workers,7
Lithuania,Seasonal worker in Lithuania,7
Sierra Leone,Residence Permit,7
Sierra Leone,Work Permit,7
Singapore,Work Permit for migrant domestic worker,7
Suriname,Verblijf overige vreemdelingen,7
Suriname,Vestiging overige vreemdelingen,7
Tanzania,Residence Permit Class A,7
Ukraine,Work Permit,7
Uzbekistan,Temporary Residence Registration,7
Laos,Stay Permit Card (SP Card),8
Luxembourg,Acquiring Luxembourgish nationality by naturalisation,8
Sweden,"Long-Term Resident Status (Sweden, 5-year EU directive)",8
Uzbekistan,Registration of Permanent Residence,8
Bahrain,Golden Residency — Talented Individuals,10
Comoros,Carte de Résident (Work + Residence Permit),10
Comoros,Carte de séjour,10
Comoros,"Long-Stay Visa (Visa de Long Séjour, 1-year variant)",10
Costa Rica,Residentes temporales como religioso o religiosa,10
Curaçao,Residence and Employment Permit,10
Cyprus,Employment at a company of foreign interests (BCS),10
Cyprus,Highly Skilled Worker — Companies of Foreign Interest (BFU/BSC),10
Denmark,Family reunification,10
Djibouti,"Long-stay Visa (Visa Long Séjour) — 90 days to 12 months, renewable once",10
Ethiopia,Ethiopian Origin ID,10
Ethiopia,Ethiopian Origin ID by Marriage,10
Ethiopia,NGO Work Permit,10
Ethiopia,Temporary Residence Permit Through Marriage,10
Georgia,Short-Term Residence Permit,10
Georgia,Special Residence Permit,10
Georgia,Work Residence Permit,10
Guyana,Landing Permit for Student,10
Italy,Youth Mobility Visa (Italy-Canada Youth Exchange Program),10
Japan,在留資格「研究」 (Researcher Residence Status),10
Kuwait,Residence for those with Source of Income Article 24,10
Kuwait,Student Residence Article 23,10
Lithuania,Intra-corporate transferee (ICT) in Lithuania,10
Mauritania,Résidence pour motif d’étude,10
Mexico,Visa de Residencia Permanente,10
Mozambique,Residence Visa,10
Mozambique,Work Visa,10
Pakistan,Family Visit Visa,10
Republic of the Congo,Permis de séjour,10
Bahamas,Student Permit (Permit to Reside — full-time student),12
Dominica,Naturalisation (Non-Commonwealth — 7 Years),12
Ireland,Become an Irish citizen by naturalisation,12
Netherlands,Student residence permit secondary or vocational education,12
Albania,Unique Permit (Leje Unike — Employee / D/PM),14
Botswana,Emergency Work Permit,14
Botswana,Residence Permit,14
Botswana,Student Residence Permit,14
Brazil,VITEM VI - Temporary Work Holiday Visa,14
Brazil,VITEM VI — Férias-Trabalho (Working Holiday Visa),14
Finland,EU Blue Card,14
Finland,Fast track for EU Blue Card,14
Finland,Fast track for family member,14
Finland,Fast track for specialist and manager (ICT),14
Finland,Fast track for startup entrepreneur,14
Finland,Internal transfer within a company,14
Finland,Residence permit application for persons employed as a specialist,14
Finland,Residence permit application for work in top or middle management,14
Finland,Residence permit for a start-up entrepreneur,14
Indonesia,Visa Keluarga Anak Bawaan WNA Perkawinan Sah WNA-WNI,14
Japan,Special Highly Skilled Professional (J-Skip),14
Jordan,Free Work Permit for Day Laborers,14
Jordan,Free Work Permits for Day Laborers,14
Kiribati,Work Visa - Religious Worker,14
Laos,Expert Visa (E-B2),14
Latvia,Family Reunion Temporary Residence Permit (Latvia),14
Latvia,Long-Term Employment Sponsorship (Third-Country National),14
Latvia,Permanent Residence Permit,14
Latvia,Short-Term Visa with Right to Employment (Latvia),14
Latvia,Start-up Founder Residence Permit,14
Latvia,Student Residence Permit (Latvia),14
Latvia,Temporary Residence Permit (>90 days),14
Liechtenstein,Aufenthaltsbewilligung B,14
Liechtenstein,Daueraufenthalts- oder Niederlassungsbewilligung,14
Liechtenstein,Familiennachzug,14
Liechtenstein,Studium / Ausbildung (L) - Kurzaufenthalt,14
Mauritius,Certificate of Exemption,14
Mozambique,DIRE,14
New Zealand,Permanent Resident Visa,14
New Zealand,Working Holiday Extension Work Visa,14
Papua New Guinea,"Restricted Employment Visa (PNG, specialist skilled workers)",14
Singapore,Training Work Permit,14
South Korea,F-1-22 Family Visit Visa – High-Salary Domestic Helper,14
South Korea,F-1-23 Family Visit Visa – High-Tech Household Helper,14
Sri Lanka,Resident Guest Scheme,14
Albania,Type D Long-Stay Visa (>90 days),15
Angola,Visto de Permanência Temporária (Temporary Stay Visa — Religious / NGO / Researcher / Family),15
Angola,Visto de Trabalho,15
Argentina,residencia transitoria como Nómada Digital,15
Bangladesh,Employment Visa (E),15
Bangladesh,TF Visa,15
Barbados,Citizenship by Registration — 10-Year Residence (Constitution s.3A(1)(a)),15
Benin,Carte de résident ordinaire (3 ans) — ressortissants CEDEAO,15
Bosnia and Herzegovina,Temporary Residence Granted for Scientific Researches,15
Bosnia and Herzegovina,Temporary Residence Grounded on Other Justified Reasons,15
Bosnia and Herzegovina,"Temporary Residence of Experts, Professors and Lecturers",15
China,Residence Permit for Personal Matters,15
China,Residence Permit for Work,15
Costa Rica,Estancia para Trabajador y Prestador Remoto de Servicios,15
Cuba,Residente Temporal — Estudiante / Becario (Student / Scholarship),15
Cuba,Residente Temporal — Periodista / Corresponsal (Foreign Press),15
Cuba,Residente Temporal — Religioso (Religious Worker),15
Cuba,Residente Temporal — Representante Comercial / Agente Negocios,15
Cuba,Residente Temporal — Técnico / Científico Contratado (Skilled Worker),15
Czechia,Visiting family or friends,15
Eritrea,Business Visa,15
Eritrea,Employment Visa,15
Eritrea,Student Visa,15
Hungary,Residence Permit for the Purpose of Studies,15
Hungary,Residence permit for the purpose of seeking a job or starting a business,15
Hungary,The residence of the researcher and his/her family member,15
Indonesia,Visa Keluarga Anak Hasil Perkawinan Sah WNA-WNI,15
Iran,Work Permit,15
Ivory Coast,Carte de résident,15
Lithuania,Researcher in Lithuania,15
Lithuania,Student in Lithuania,15
Luxembourg,Nationalité par naturalisation,15
Maldives,Work Visa,15
Mexico,"Carta de Naturalización por Haber Prestado Servicios o Realizado Obras Destacadas en Materia Cultural, Social, Científica, Técnica, Artística, Deportiva o Empresarial",15
Mexico,Carta de Naturalización por Ser Originario de un País Latinoamericano o de la Península Ibérica,15
Moldova,Digital Nomad,15
Montenegro,Temporary Residence and Work Permit,15
Nepal,Study Visa,15
Palestine,Temporary Residence,15
Ukraine,Permanent Residence Permit,15
United States,H-2A Temporary Agricultural Program,15
Zimbabwe,Investor Residence Permit,15
Kazakhstan,Permanent Residence Permit in the Republic of Kazakhstan,17
Azerbaijan,Family TRP — Close Relative of Azerbaijani Citizen,20
Azerbaijan,Issuance of work permits to foreigners and stateless persons to engage in paid employment,20
Ireland,Atypical Working Scheme,20
Malta,Sports Trial Visa,20
Montenegro,Work Registration Certificate,20
Nepal,Press Visa,20
Slovenia,Purpose of residence - transfer within a company,20
South Korea,E-9-3 Non-Professional Employment Visa – Agriculture,20
Bangladesh,Journalist Visa,21
DR Congo,Carte de Travail d'Étranger — Ordinary (with Visa d'Établissement de Travail),21
Fiji,Child of Fiji Citizen Exemption (family entry/residence pathway),21
Fiji,Co-Extensive Residence Permit,21
Fiji,Dual Citizen Exemption Status (Fiji + foreign passport holders),21
Fiji,Family Members of Exempted Person Exemption (Fiji),21
Fiji,Fiji Student Permit (Universities/Institutions),21
Fiji,Fiji Work Permit — Long Term (3 Years),21
Fiji,Fiji Work Permit — Maritime/Fishing Crew,21
Fiji,Fiji Work Permit — NGO / Humanitarian,21
Fiji,Fiji Work Permit — Short Term (1 Year or Less),21
Fiji,"Fijian Citizenship by Naturalization (5-of-10 years, Citizenship Act 2009)",21
Fiji,Residence Permit on Assured Income,21
Fiji,Residence Permit on Special Purpose,21
Fiji,Special Purpose Permit for Yacht Owners and Crew (Fiji),21
Fiji,Spouse of Fiji Citizen Exemption (family entry/residence pathway),21
Fiji,VKB-Registered iTaukei Fijians Overseas — Visa-Free Live/Work (Immigration Act 2023),21
Fiji,"Visitors Permit on Arrival (Fiji, exempted countries)",21
Germany,Work Visa for Qualified Professionals (Section 18a/18b AufenthG),21
Hungary,Residence Permit for the purpose of intra-corporate transfer and Permit for long-term mobility,21
Hungary,Residence permit for Hungarian Card,21
Hungary,Residence permit for guest self-employment,21
Hungary,Residence permit for official purposes,21
Hungary,Residence permit for seasonal employment,21
Hungary,Residence permit for the purpose of family reunification,21
Hungary,Residence permit for the purpose of posted work,21
Hungary,Residence permit for the purpose of traineeship,21
Hungary,Residence permit for the purpose of training,21
Hungary,White Card – residency for digital nomads,21
Jersey,Long-Term Work Permit (Skilled Worker),21
New Zealand,Specific Purpose Work Visa,21
United Kingdom,Charity Worker visa (Temporary Work),21
United Kingdom,Creative Worker visa (Temporary Work),21
United Kingdom,Global Talent visa,21
United Kingdom,Government Authorised Exchange visa (Temporary Work),21
United Kingdom,Graduate Trainee visa (Global Business Mobility),21
United Kingdom,Health and Care Worker,21
United Kingdom,High Potential Individual (HPI) visa,21
United Kingdom,India Young Professionals Scheme visa,21
United Kingdom,Innovator Founder visa,21
United Kingdom,International Agreement visa (Temporary Work),21
United Kingdom,Minister of Religion visa (T2),21
United Kingdom,Overseas Domestic Worker visa,21
United Kingdom,Religious Worker visa (Temporary Work),21
United Kingdom,Representative of an Overseas Business visa,21
United Kingdom,Scale-up Worker visa,21
United Kingdom,Seasonal Worker visa (Temporary Work),21
United Kingdom,Secondment Worker visa (Global Business Mobility),21
United Kingdom,Senior or Specialist Worker visa (Global Business Mobility),21
United Kingdom,Service Supplier visa (Global Business Mobility),21
United Kingdom,Skilled Worker,21
United Kingdom,Student Visa,21
United Kingdom,UK Ancestry visa,21
United Kingdom,UK Expansion Worker visa (Global Business Mobility),21
United Kingdom,Youth Mobility Scheme visa,21
Zambia,"Zambian Citizenship by Registration (spouse, 5-year marriage)",21
Finland,Residence permit application for an employed person (TTOL),23
Bangladesh,E1 Visa,24
Barbados,Barbados Welcome Stamp (12-Month Remote Work Visa),28
Colombia,Visa V Trabajador Remoto / Nómadas Digitales,28
Hong Kong,Investment as Entrepreneurs,28
Hong Kong,Training,28
Hong Kong,Vocational Professionals Admission Scheme,28
Jordan,Transfer Residency,28
Nigeria,Employment (Expatriate Free Zone) Visa,28
Pakistan,Domestic Aide Visa,28
Pakistan,Work Visa,28
Rwanda,"H4: Semi-skilled worker or artisan, who is a national of one of the countries within the region",28
Saudi Arabia,Permanent Work Visa,28
Saudi Arabia,Temporary Work Visa,28
South Korea,E-9-10 Non-Professional Employment Visa – Mining Industry,28
South Korea,F-4-25 Overseas Korean Visa – Age 60 or Older,28
Taiwan,Taiwan Employment Gold Card,28
Trinidad and Tobago,Certificate of Registration,28
Zimbabwe,Temporary Employment Permit,28
Afghanistan,Afghan Citizenship by Naturalization (Article 15),30
Albania,Albanian Citizenship by Special Merit / National Interest (Presidential Decree),30
Albania,Student Residence Permit,30
Algeria,Carte de commerçant pour étranger résident (Foreign Commercial Resident Card),30
Angola,Autorização de Residência Permanente (Permanent Residence — 10 years of consecutive temporary residence),30
Angola,"Autorização de Residência Temporária (Temporary Residence Authorisation — 2-year, indefinitely renewable)",30
Angola,Reagrupamento Familiar (Family Reunification — Residence Holder's Family),30
Argentina,Ciudadanía por Inversión Relevante,30
Armenia,Permanent resident card (5 years),30
Armenia,Temporary Resident Card (family of Armenian citizen or Special Passport holder),30
Armenia,Temporary Resident Card (work permit holder),30
Armenia,Temporary resident card,30
Azerbaijan,Naturalisation by Presidential Decree (Special Merit / Exceptional Skill),30
Azerbaijan,"Naturalisation of Stateless Persons (Simplified Procedure, 2015)",30
Azerbaijan,Naturalisation — Ethnic Azerbaijani Diaspora (Reduced Residency),30
Bahamas,Citizenship by Descent — Father-Line Auto-Acquisition (Constitution Art. 3(2) / Born Abroad to Bahamian Father),30
Bahamas,Citizenship by Registration — Female Spouse of Bahamian (Nationality Act Cap. 190 §7 / Form I),30
Bahamas,"Permanent Residence — Discretionary Grant after Refused §7 Citizenship Application (Nationality Act §7A, 2026 Amendment)",30
Bangladesh,"Naturalization under the Naturalization Act, 1926 & Citizenship Act, 1951",30
Barbados,Citizenship by Adoption (Cap. 186 s.5(3)),30
Barbados,Citizenship by Naturalisation — Aliens (Cap. 186 s.7 + Second Schedule para 1),30
Belarus,Naturalization – 7 years permanent residence,30
Belarus,Naturalization — refugees (7 years from recognition),30
Belarus,"On Citizenship of the Republic of Belarus (Law 136-Z, 1 August 2002)",30
Belgium,"Citizenship by Declaration — Belgian Spouse/Parent of Belgian Child (Art. 12bis § 1, 3°)",30
Belgium,"EU Long-Term Resident (Résident de longue durée — UE, Art. 15bis)",30
Belgium,Family Reunification with Belgian National (Art. 40ter),30
Belgium,"Researcher Permit (Chercheur, Dir 2016/801)",30
Belize,"Temporary Employment Permit (Work Permit, Belize)",30
Benin,Visa professionnel — 12 mois (work visa),30
Bhutan,Citizenship by Naturalization (20-year residence — Bhutan Citizenship Act 1985 Section 4),30
Bhutan,Dependent Visa,30
Bhutan,International Professional Football Player Visa (sport-specific channel),30
Bhutan,Personal Guest Visa,30
Bhutan,Special Residence Permit — Spouse/Child of Bhutanese (Family Immigration),30
Bolivia,"Acuerdo MERCOSUR sobre Residencia — Bolivia, Chile y Estados Parte (MERCOSUR Residency Agreement)",30
Bolivia,Cambio de condición migratoria,30
Bolivia,Decisión 545 CAN — Estatuto Migratorio Andino (Andean Migration Statute),30
Bolivia,Naturalización por servicio militar,30
Bolivia,Naturalización por servicios al País,30
Bolivia,Permanencia Definitiva (Permanent Residence — after 3 years temporal),30
Bolivia,Permanencia transitoria por intercambio académico,30
Bolivia,Permanencia transitoria por objeto determinado,30
