country,program,min_income_eur,min_savings_eur,language_requirement,education_requirement,work_experience_years,processing_time_official_days,processing_time_real_median_days,quota_annual,path_to_pr_years,path_to_citizenship_years,source_url,last_updated
Canada,Express Entry - Federal Skilled Worker Program (FSWP),,10226,English CLB 7 or French NCLC 7 (approx. B2+),Minimum Canadian high school equivalent (ECA required for foreign credentials),1,180,330,16900,0,3,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/who-can-apply/federal-skilled-workers.html,2026-02-21T00:00:00Z
Canada,Express Entry - Canadian Experience Class (CEC),,,"English CLB 7 or French NCLC 7 for NOC TEER 0/1, CLB 5 for TEER 2/3",None (but education adds CRS points),1,180,300,,0,3,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/who-can-apply/canadian-experience-class.html,2026-02-21T00:00:00Z
Canada,Start-up Visa Program (Suspended Dec 2025 - transitional until June 2026),,10226,English CLB 5 or French NCLC 5 (approx. B1),None,0,365,1095,500,0,3,https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/start-visa.html,2026-02-21T00:00:00Z
Australia,Skilled Independent Visa (Subclass 189),,,"English Competent (IELTS 6.0 each band, approx. B2)",Skills assessment in eligible occupation (typically Bachelor's degree or trade qualification),0,270,540,16900,0,4,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skilled-independent-189,2026-02-21T00:00:00Z
Australia,Skills in Demand Visa (Subclass 482 - formerly TSS),45909,,"English Competent (IELTS 5.0 overall, min 4.5 each band)",Relevant qualifications or experience for nominated occupation,2,90,180,,2,6,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/temporary-skill-shortage-482,2026-02-21T00:00:00Z
Australia,National Innovation Visa (Subclass 858 - Global Talent),97200,,English Functional (IELTS 4.5 overall),Exceptional talent/achievement in target sector,3,120,270,5000,0,4,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/national-innovation-visa-858,2026-02-21T00:00:00Z
Germany,EU Blue Card (Blaue Karte EU),50700,,None required (but German A1 recommended),Recognized university degree (or 3 years IT experience for tech roles),0,90,150,,2,5,https://www.make-it-in-germany.com/en/visa-residence/types/eu-blue-card,2026-02-21T00:00:00Z
Germany,EU Blue Card - Shortage Occupations / Recent Graduates,45934,,None required (but German A1 recommended),Recognized university degree (graduated within last 3 years for reduced threshold),0,90,150,,2,5,https://www.make-it-in-germany.com/en/visa-residence/types/eu-blue-card,2026-02-21T00:00:00Z
Germany,Opportunity Card (Chancenkarte) - Job Seeker Visa,,13092,German A1 or English B2,Recognized university degree or 2-year vocational training,0,60,120,,,,https://www.make-it-in-germany.com/en/visa-residence/opportunity-card/job-search,2026-02-21T00:00:00Z
Portugal,D8 Digital Nomad Visa (Remote Work Visa),41760,11040,None,None (must prove remote employment or freelance activity),0,60,120,,5,5,https://vistos.mne.gov.pt/en/national-visas/necessary-documentation/residence-visa-for-remote-work,2026-02-21T00:00:00Z
